"HF","Financing scheme","HC","Function","HP","Provider","MEASURE","Measure","LOCATION","Country","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2001","2001","EUR","Euro","0","Units",,,211.985,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2002","2002","EUR","Euro","0","Units",,,238.494,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2003","2003","EUR","Euro","0","Units",,,220.472,"B","Break"
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2004","2004","EUR","Euro","0","Units",,,237.967,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2005","2005","EUR","Euro","0","Units",,,258.436,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2006","2006","EUR","Euro","0","Units",,,278.235,"B","Break"
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2007","2007","EUR","Euro","0","Units",,,300.064,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2008","2008","EUR","Euro","0","Units",,,331.826,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2009","2009","EUR","Euro","0","Units",,,365.149,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2010","2010","EUR","Euro","0","Units",,,384.033,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2011","2011","EUR","Euro","0","Units",,,393.908,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2012","2012","EUR","Euro","0","Units",,,409.409,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2013","2013","EUR","Euro","0","Units",,,420.976,"B","Break"
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2014","2014","EUR","Euro","0","Units",,,431.543,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2015","2015","EUR","Euro","0","Units",,,438.419,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2016","2016","EUR","Euro","0","Units",,,446.509,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2017","2017","EUR","Euro","0","Units",,,456,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2018","2018","EUR","Euro","0","Units",,,464.206,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2019","2019","EUR","Euro","0","Units",,,476.681,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2020","2020","EUR","Euro","0","Units",,,525.657,,
"HF1","Government/compulsory schemes","HC3","Long-term care (health)","HPTOT","All providers","UNPPER","Per capita, current prices","FRA","France","2021","2021","EUR","Euro","0","Units",,,555.369,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2006","2006","EUR","Euro","6","Millions",,,430.021,"B","Break"
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2007","2007","EUR","Euro","6","Millions",,,424.892,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2008","2008","EUR","Euro","6","Millions",,,436.144,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2009","2009","EUR","Euro","6","Millions",,,442.538,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2010","2010","EUR","Euro","6","Millions",,,447.159,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2011","2011","EUR","Euro","6","Millions",,,445.061,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2012","2012","EUR","Euro","6","Millions",,,436.384,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2013","2013","EUR","Euro","6","Millions",,,842.851,"B","Break"
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2014","2014","EUR","Euro","6","Millions",,,868.83,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2015","2015","EUR","Euro","6","Millions",,,894.261,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2016","2016","EUR","Euro","6","Millions",,,938.567,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2017","2017","EUR","Euro","6","Millions",,,968.242,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2018","2018","EUR","Euro","6","Millions",,,989.009,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2019","2019","EUR","Euro","6","Millions",,,989.457,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2020","2020","EUR","Euro","6","Millions",,,992.401,,
"HFTOT","All financing schemes","HC4","Ancillary services (non-specified by function)","HP1","Hospitals","MLLNCU","Current prices","FRA","France","2021","2021","EUR","Euro","6","Millions",,,1100.881,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2003","2003","PC","Percentage","0","Units",,,0.359,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2004","2004","PC","Percentage","0","Units",,,0.366,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2005","2005","PC","Percentage","0","Units",,,0.367,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2006","2006","PC","Percentage","0","Units",,,0.274,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2007","2007","PC","Percentage","0","Units",,,0.266,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2008","2008","PC","Percentage","0","Units",,,0.261,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2009","2009","PC","Percentage","0","Units",,,0.276,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2010","2010","PC","Percentage","0","Units",,,0.273,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2011","2011","PC","Percentage","0","Units",,,0.267,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2012","2012","PC","Percentage","0","Units",,,0.264,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2013","2013","PC","Percentage","0","Units",,,0.271,"B","Break"
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2014","2014","PC","Percentage","0","Units",,,0.268,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2015","2015","PC","Percentage","0","Units",,,0.267,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2016","2016","PC","Percentage","0","Units",,,0.293,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2017","2017","PC","Percentage","0","Units",,,0.291,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2018","2018","PC","Percentage","0","Units",,,0.284,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2019","2019","PC","Percentage","0","Units",,,0.277,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2020","2020","PC","Percentage","0","Units",,,0.363,,
"HF1","Government/compulsory schemes","HCTOT","Current expenditure on health (all functions)","HP4","Providers of ancillary services","PARPIB","Share of gross domestic product","FRA","France","2021","2021","PC","Percentage","0","Units",,,0.435,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1970","1970","PC","Percentage","0","Units",,,0.17,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1975","1975","PC","Percentage","0","Units",,,0.214,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1980","1980","PC","Percentage","0","Units",,,0.225,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1985","1985","PC","Percentage","0","Units",,,0.219,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1990","1990","PC","Percentage","0","Units",,,0.191,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1991","1991","PC","Percentage","0","Units",,,0.198,,
"HFTOT","All financing schemes","HCTOT","Current expenditure on health (all functions)","HP6","Providers of preventive care","PARPIB","Share of gross domestic product","FRA","France","1992","1992","PC","Percentage","0","Units",,,0.204,,
